Course Code,Title,Section,Faculty Full Name,Day,Start Time,End Time,Start_Time_24hr,End_Time_24hr,Days_List,Cr.
ACT 2111,Financial and Managerial Accounting,B,Israt Jabin,S,09:51:AM,11:10:AM,951,1110,['S'],3.0
ACT 2111,Financial and Managerial Accounting,C,Ishrat Jahan,U,03:11:PM,04:30:PM,1511,1630,['U'],3.0
ACT 2111,Financial and Managerial Accounting,A,Ishrat Jahan,S,09:51:AM,11:10:AM,951,1110,['S'],3.0
BDS 1201,History of the Emergence of Bangladesh,AC,Al Jamal Mustafa Shindaini,S,08:30:AM,09:50:AM,830,950,['S'],2.0
BDS 1201,History of the Emergence of Bangladesh,AD,Mabia Momen,U,08:30:AM,09:50:AM,830,950,['U'],2.0
BDS 1201,History of the Emergence of Bangladesh,AE,Md. Ashraf Aziz Ishrak Fahim,U,01:51:PM,03:10:PM,1351,1510,['U'],2.0
BDS 1201,History of the Emergence of Bangladesh,AF,Nazmul Huda,S,11:11:AM,12:30:PM,1111,1230,['S'],2.0
BDS 1201,History of the Emergence of Bangladesh,AG,Nazmul Huda,S,12:31:PM,01:50:PM,1231,1350,['S'],2.0
BDS 1201,History of the Emergence of Bangladesh,AH,Md. Ashraf Aziz Ishrak Fahim,U,03:11:PM,04:30:PM,1511,1630,['U'],2.0
BDS 1201,History of the Emergence of Bangladesh,AA,Al Jamal Mustafa Shindaini,S,09:51:AM,11:10:AM,951,1110,['S'],2.0
BDS 1201,History of the Emergence of Bangladesh,AB,Mabia Momen,U,09:51:AM,11:10:AM,951,1110,['U'],2.0
BIO 3105,Biology for Engineers,A,Muhammad Sibgatullah Zunnun,S,09:51:AM,11:10:AM,951,1110,['S'],3.0
BIO 3105,Biology for Engineers,B,Hasin Anupama Azhari,S,11:11:AM,12:30:PM,1111,1230,['S'],3.0
BIO 3105,Biology for Engineers,C,Hasin Anupama Azhari,S,12:31:PM,01:50:PM,1231,1350,['S'],3.0
BIO 3105,Biology for Engineers,D,Mobashara Islam,S,01:51:PM,03:10:PM,1351,1510,['S'],3.0
BIO 3105,Biology for Engineers,E,Nahid Tamanna,S,08:30:AM,09:50:AM,830,950,['S'],3.0
BIO 3105,Biology for Engineers,F,Mobashara Islam,S,09:51:AM,11:10:AM,951,1110,['S'],3.0
BIO 3105,Biology for Engineers,H,Mobashara Islam,U,09:51:AM,11:10:AM,951,1110,['U'],3.0
BIO 3105,Biology for Engineers,I,Hasin Anupama Azhari,U,11:11:AM,12:30:PM,1111,1230,['U'],3.0
BIO 3105,Biology for Engineers,J,Atiq Abrar Rahman,U,12:31:PM,01:50:PM,1231,1350,['U'],3.0
BIO 3105,Biology for Engineers,K,Atiq Abrar Rahman,U,01:51:PM,03:10:PM,1351,1510,['U'],3.0
CSE 1110,Introduction to Computer Systems,A,Mohmmad Ali,U,08:30:AM,11:00:AM,830,1100,['U'],1.0
CSE 1110,Introduction to Computer Systems,B,Hamudi Hasan Sonet,S,08:30:AM,11:00:AM,830,1100,['S'],1.0
CSE 1110,Introduction to Computer Systems,C,Mohmmad Ali,W,08:30:AM,11:00:AM,830,1100,['W'],1.0
CSE 1110,Introduction to Computer Systems,D,Shoib Ahmed Shourav,W,11:11:AM,01:40:PM,1111,1340,['W'],1.0
CSE 1110,Introduction to Computer Systems,E,Shoib Ahmed Shourav,U,11:11:AM,01:40:PM,1111,1340,['U'],1.0
CSE 1110,Introduction to Computer Systems,F,Md. Tanvir Raihan,S,11:11:AM,01:40:PM,1111,1340,['S'],1.0
CSE 1110,Introduction to Computer Systems,G,Sahid Hossain Mustakim,T,11:11:AM,01:40:PM,1111,1340,['T'],1.0
CSE 1110,Introduction to Computer Systems,H,Hamudi Hasan Sonet,T,08:30:AM,11:00:AM,830,1100,['T'],1.0
CSE 1110,Introduction to Computer Systems,I,Abu Bakar Fahad,T,08:30:AM,11:00:AM,830,1100,['T'],1.0
CSE 1111,Structured Programming Language,A,Anika Tasnim Rodela,S,08:30:AM,09:50:AM,830,950,['S'],3.0
CSE 1111,Structured Programming Language,B,Hasan Sarwar,S,09:51:AM,11:10:AM,951,1110,['S'],3.0
CSE 1111,Structured Programming Language,C,Anika Tasnim Rodela,S,11:11:AM,12:30:PM,1111,1230,['S'],3.0
CSE 1111,Structured Programming Language,D,Sabah Ahmed,S,12:31:PM,01:50:PM,1231,1350,['S'],3.0
CSE 1111,Structured Programming Language,E,Sidratul Tanzila Tasmi,S,01:51:PM,03:10:PM,1351,1510,['S'],3.0
CSE 1111,Structured Programming Language,F,Nusrat Jahan Tithi,S,08:30:AM,09:50:AM,830,950,['S'],3.0
CSE 1111,Structured Programming Language,G,Khushnur Binte Jahangir,S,09:51:AM,11:10:AM,951,1110,['S'],3.0
CSE 1111,Structured Programming Language,H,Mohammad Nurul Huda,S,11:11:AM,12:30:PM,1111,1230,['S'],3.0
CSE 1111,Structured Programming Language,J,Shekh. Md. Saifur Rahman,S,01:51:PM,03:10:PM,1351,1510,['S'],3.0
CSE 1111,Structured Programming Language,K,Sherajul Arifin,U,08:30:AM,09:50:AM,830,950,['U'],3.0
CSE 1111,Structured Programming Language,I,Sherajul Arifin,S,12:31:PM,01:50:PM,1231,1350,['S'],3.0
CSE 1111,Structured Programming Language,L,Nusrat Jahan Tithi,U,09:51:AM,11:10:AM,951,1110,['U'],3.0
CSE 1111,Structured Programming Language,M,Md. Benzir Ahmed,U,11:11:AM,12:30:PM,1111,1230,['U'],3.0
CSE 1111,Structured Programming Language,N,Nusrat Jahan Tithi,U,12:31:PM,01:50:PM,1231,1350,['U'],3.0
CSE 1111,Structured Programming Language,O,Mir Moynuddin Ahmed Shibly,U,01:51:PM,03:10:PM,1351,1510,['U'],3.0
CSE 1111,Structured Programming Language,P,Shekh. Md. Saifur Rahman,U,03:11:PM,04:30:PM,1511,1630,['U'],3.0
CSE 1111,Structured Programming Language,Q,Shekh. Md. Saifur Rahman,U,08:30:AM,09:50:AM,830,950,['U'],3.0
CSE 1111,Structured Programming Language,T,Sherajul Arifin,U,01:51:PM,03:10:PM,1351,1510,['U'],3.0
CSE 1111,Structured Programming Language,U,Sahid Hossain Mustakim,U,03:11:PM,04:30:PM,1511,1630,['U'],3.0
CSE 1112,Structured Programming Language Laboratory,A,Khushnur Binte Jahangir,S,11:11:AM,01:40:PM,1111,1340,['S'],1.0
CSE 1112,Structured Programming Language Laboratory,B,Nabila Sabrin Sworna,T,11:11:AM,01:40:PM,1111,1340,['T'],1.0
CSE 1112,Structured Programming Language Laboratory,C,Anika Tasnim Rodela,U,11:11:AM,01:40:PM,1111,1340,['U'],1.0
CSE 1112,Structured Programming Language Laboratory,D,Nabila Sabrin Sworna,S,11:11:AM,01:40:PM,1111,1340,['S'],1.0
CSE 1112,Structured Programming Language Laboratory,E,Asnuva Tanvin,U,11:11:AM,01:40:PM,1111,1340,['U'],1.0
CSE 1112,Structured Programming Language Laboratory,F,Anika Tasnim Rodela,U,08:30:AM,11:00:AM,830,1100,['U'],1.0
CSE 1112,Structured Programming Language Laboratory,G,Mohammad Mirazur Rahman,W,11:11:AM,01:40:PM,1111,1340,['W'],1.0
CSE 1112,Structured Programming Language Laboratory,H,Miftahul Sheikh,W,11:11:AM,01:40:PM,1111,1340,['W'],1.0
CSE 1112,Structured Programming Language Laboratory,I,Abu Bakar Fahad,T,11:11:AM,01:40:PM,1111,1340,['T'],1.0
CSE 1112,Structured Programming Language Laboratory,J,Minhajul Bashir,U,08:30:AM,11:00:AM,830,1100,['U'],1.0
CSE 1112,Structured Programming Language Laboratory,K,Sidratul Tanzila Tasmi,S,08:30:AM,11:00:AM,830,1100,['S'],1.0
CSE 1112,Structured Programming Language Laboratory,L,Sidratul Tanzila Tasmi,T,08:30:AM,11:00:AM,830,1100,['T'],1.0
CSE 1112,Structured Programming Language Laboratory,M,Sahid Hossain Mustakim,U,08:30:AM,11:00:AM,830,1100,['U'],1.0
CSE 1112,Structured Programming Language Laboratory,N,Minhajul Bashir,W,08:30:AM,11:00:AM,830,1100,['W'],1.0
CSE 1112,Structured Programming Language Laboratory,O,Sherajul Arifin,S,08:30:AM,11:00:AM,830,1100,['S'],1.0
CSE 1112,Structured Programming Language Laboratory,P,Sherajul Arifin,T,08:30:AM,11:00:AM,830,1100,['T'],1.0
CSE 1112,Structured Programming Language Laboratory,Q,Sahid Hossain Mustakim,W,08:30:AM,11:00:AM,830,1100,['W'],1.0
CSE 1115,Object Oriented Programming,B,Md. Zunaid-Ul-Alam,S,09:51:AM,11:10:AM,951,1110,['S'],3.0
CSE 1115,Object Oriented Programming,C,Rakibul Hasan Rafi,S,11:11:AM,12:30:PM,1111,1230,['S'],3.0
CSE 1115,Object Oriented Programming,D,Md. Zunaid-Ul-Alam,S,12:31:PM,01:50:PM,1231,1350,['S'],3.0
CSE 1115,Object Oriented Programming,G,Tahsin Wahid,U,09:51:AM,11:10:AM,951,1110,['U'],3.0
CSE 1115,Object Oriented Programming,H,Md. Zunaid-Ul-Alam,U,11:11:AM,12:30:PM,1111,1230,['U'],3.0
CSE 1115,Object Oriented Programming,I,Md. Rahad Khan,U,12:31:PM,01:50:PM,1231,1350,['U'],3.0
CSE 1115,Object Oriented Programming,K,Abdullah Ibne Masud Mahi,U,03:11:PM,04:30:PM,1511,1630,['U'],3.0
CSE 1115,Object Oriented Programming,E,Md. Romizul Islam,S,01:51:PM,03:10:PM,1351,1510,['S'],3.0
CSE 1115,Object Oriented Programming,F,Asnuva Tanvin,U,08:30:AM,09:50:AM,830,950,['U'],3.0
CSE 1115,Object Oriented Programming,A,Md. Tanvir Raihan,S,08:30:AM,09:50:AM,830,950,['S'],3.0
CSE 1115,Object Oriented Programming,J,Md. Rahad Khan,U,01:51:PM,03:10:PM,1351,1510,['U'],3.0
CSE 1116,Object Oriented Programming Laboratory,A,Tasmia Binte Sogir,T,11:11:AM,01:40:PM,1111,1340,['T'],1.0
CSE 1116,Object Oriented Programming Laboratory,B,Md. Tanvir Raihan,T,02:00:PM,04:30:PM,1400,1630,['T'],1.0
CSE 1116,Object Oriented Programming Laboratory,C,Rakibul Hasan Rafi,W,02:00:PM,04:30:PM,1400,1630,['W'],1.0
CSE 1116,Object Oriented Programming Laboratory,D,Rakibul Hasan Rafi,U,08:30:AM,11:00:AM,830,1100,['U'],1.0
CSE 1116,Object Oriented Programming Laboratory,E,Md. Romizul Islam,S,08:30:AM,11:00:AM,830,1100,['S'],1.0
CSE 1116,Object Oriented Programming Laboratory,F,Md. Zunaid-Ul-Alam,U,02:00:PM,04:30:PM,1400,1630,['U'],1.0
CSE 1116,Object Oriented Programming Laboratory,G,Md. Zunaid-Ul-Alam,W,08:30:AM,11:00:AM,830,1100,['W'],1.0
CSE 1325,Digital Logic Design,A,Asnuva Tanvin,S,08:30:AM,09:50:AM,830,950,['S'],3.0
CSE 1325,Digital Logic Design,B,Anudwaipaon Antu,S,09:51:AM,11:10:AM,951,1110,['S'],3.0
CSE 1325,Digital Logic Design,C,Anudwaipaon Antu,S,11:11:AM,12:30:PM,1111,1230,['S'],3.0
CSE 1325,Digital Logic Design,E,Riasat Azim,S,01:51:PM,03:10:PM,1351,1510,['S'],3.0
CSE 1325,Digital Logic Design,F,Md. Benzir Ahmed,U,08:30:AM,09:50:AM,830,950,['U'],3.0
CSE 1325,Digital Logic Design,G,Shahriar Mahmud,U,09:51:AM,11:10:AM,951,1110,['U'],3.0
CSE 1325,Digital Logic Design,H,Riasat Azim,U,11:11:AM,12:30:PM,1111,1230,['U'],3.0
CSE 1325,Digital Logic Design,I,Md. Benzir Ahmed,U,12:31:PM,01:50:PM,1231,1350,['U'],3.0
CSE 1325,Digital Logic Design,J,Tasmia Binte Sogir,U,01:51:PM,03:10:PM,1351,1510,['U'],3.0
CSE 1325,Digital Logic Design,K,Tasmia Binte Sogir,U,03:11:PM,04:30:PM,1511,1630,['U'],3.0
CSE 1325,Digital Logic Design,D,Asnuva Tanvin,S,12:31:PM,01:50:PM,1231,1350,['S'],3.0
CSE 1326,Digital Logic Design Laboratory,A,Asnuva Tanvin,W,11:11:AM,01:40:PM,1111,1340,['W'],1.0
CSE 1326,Digital Logic Design Laboratory,B,Shahriar Mahmud,S,11:11:AM,01:40:PM,1111,1340,['S'],1.0
CSE 1326,Digital Logic Design Laboratory,C,Shahriar Mahmud,U,11:11:AM,01:40:PM,1111,1340,['U'],1.0
CSE 1326,Digital Logic Design Laboratory,D,Sayeem Been Zaman,S,08:30:AM,11:00:AM,830,1100,['S'],1.0
CSE 1326,Digital Logic Design Laboratory,E,Sayeem Been Zaman,T,02:00:PM,04:30:PM,1400,1630,['T'],1.0
CSE 1326,Digital Logic Design Laboratory,F,Fahim Hafiz,U,02:00:PM,04:30:PM,1400,1630,['U'],1.0
CSE 1326,Digital Logic Design Laboratory,G,Fahim Hafiz,W,02:00:PM,04:30:PM,1400,1630,['W'],1.0
CSE 1326,Digital Logic Design Laboratory,H,Tasmia Binte Sogir,T,08:30:AM,11:00:AM,830,1100,['T'],1.0
CSE 2118,Advanced Object Oriented Programming Laboratory,A,Abdus Sayef Reyadh,U,11:11:AM,01:40:PM,1111,1340,['U'],1.0
CSE 2118,Advanced Object Oriented Programming Laboratory,B,Mohammad Mirazur Rahman,T,11:11:AM,01:40:PM,1111,1340,['T'],1.0
CSE 2118,Advanced Object Oriented Programming Laboratory,C,Ashraful Kabir,S,11:11:AM,01:40:PM,1111,1340,['S'],1.0
CSE 2118,Advanced Object Oriented Programming Laboratory,E,Md. Enamul Haque,T,08:30:AM,11:00:AM,830,1100,['T'],1.0
CSE 2118,Advanced Object Oriented Programming Laboratory,F,Faria Tabassum,W,02:00:PM,04:30:PM,1400,1630,['W'],1.0
CSE 2118,Advanced Object Oriented Programming Laboratory,G,Miftahul Sheikh,T,02:00:PM,04:30:PM,1400,1630,['T'],1.0
CSE 2118,Advanced Object Oriented Programming Laboratory,H,Tonmoy Saha,U,08:30:AM,11:00:AM,830,1100,['U'],1.0
CSE 2118,Advanced Object Oriented Programming Laboratory,I,Raiyan Janik Monir,T,02:00:PM,04:30:PM,1400,1630,['T'],1.0
CSE 2118,Advanced Object Oriented Programming Laboratory,J,Kazi Abdun Noor,U,02:00:PM,04:30:PM,1400,1630,['U'],1.0
CSE 2118,Advanced Object Oriented Programming Laboratory,K,Raiyan Janik Monir,W,08:30:AM,11:00:AM,830,1100,['W'],1.0
CSE 2118,Advanced Object Oriented Programming Laboratory,D,Kazi Abdun Noor,W,11:11:AM,01:40:PM,1111,1340,['W'],1.0
CSE 2213,Discrete Mathematics,A,Faria Tabassum,U,08:30:AM,09:50:AM,830,950,['U'],3.0
CSE 2213,Discrete Mathematics,D,Charles Aunkan Gomes,S,09:51:AM,11:10:AM,951,1110,['S'],3.0
CSE 2213,Discrete Mathematics,E,Nusaiba Zaman Manifa,S,11:11:AM,12:30:PM,1111,1230,['S'],3.0
CSE 2213,Discrete Mathematics,F,Rakib Ahsan,S,01:51:PM,03:10:PM,1351,1510,['S'],3.0
CSE 2213,Discrete Mathematics,B,Faria Tabassum,U,11:11:AM,12:30:PM,1111,1230,['U'],3.0
CSE 2213,Discrete Mathematics,C,Charles Aunkan Gomes,U,01:51:PM,03:10:PM,1351,1510,['U'],3.0
CSE 2215,Data Structure and Algorithms I,AF,Md. Abul Kashem Mia,T,11:11:AM,01:40:PM,1111,1340,['T'],3.0
CSE 2215,Data Structure and Algorithms I,A,Rubaiya Rahtin Khan,S,08:30:AM,09:50:AM,830,950,['S'],3.0
CSE 2215,Data Structure and Algorithms I,B,Asif Abrar,S,09:51:AM,11:10:AM,951,1110,['S'],3.0
CSE 2215,Data Structure and Algorithms I,C,Hafijul Hoque Chowdhury,S,11:11:AM,12:30:PM,1111,1230,['S'],3.0
CSE 2215,Data Structure and Algorithms I,D,Asif Abrar,S,12:31:PM,01:50:PM,1231,1350,['S'],3.0
CSE 2215,Data Structure and Algorithms I,AA,Asif Abrar,U,09:51:AM,11:10:AM,951,1110,['U'],3.0
CSE 2215,Data Structure and Algorithms I,AB,Md. Tarek Hasan,U,11:11:AM,12:30:PM,1111,1230,['U'],3.0
CSE 2215,Data Structure and Algorithms I,AC,Shahil Yasar Haque,U,12:31:PM,01:50:PM,1231,1350,['U'],3.0
CSE 2215,Data Structure and Algorithms I,AD,Siana Rizwan,U,01:51:PM,03:10:PM,1351,1510,['U'],3.0
CSE 2215,Data Structure and Algorithms I,AE,Siana Rizwan,U,08:30:AM,09:50:AM,830,950,['U'],3.0
CSE 2215,Data Structure and Algorithms I,E,Mr. Md Siam,S,01:51:PM,03:10:PM,1351,1510,['S'],3.0
CSE 2215,Data Structure and Algorithms I,F,Mr. Md Siam,S,08:30:AM,09:50:AM,830,950,['S'],3.0
CSE 2215,Data Structure and Algorithms I,G,Md. Irfanur Rahman Rafio,S,09:51:AM,11:10:AM,951,1110,['S'],3.0
CSE 2215,Data Structure and Algorithms I,H,Md. Sajjad Hossain,S,11:11:AM,12:30:PM,1111,1230,['S'],3.0
CSE 2215,Data Structure and Algorithms I,I,Hafijul Hoque Chowdhury,S,12:31:PM,01:50:PM,1231,1350,['S'],3.0
CSE 2215,Data Structure and Algorithms I,J,Md. Irfanur Rahman Rafio,S,01:51:PM,03:10:PM,1351,1510,['S'],3.0
CSE 2215,Data Structure and Algorithms I,K,Pranta Biswas,S,08:30:AM,09:50:AM,830,950,['S'],3.0
CSE 2215,Data Structure and Algorithms I,L,Fairoz Anika,S,09:51:AM,11:10:AM,951,1110,['S'],3.0
CSE 2215,Data Structure and Algorithms I,M,Siana Rizwan,S,11:11:AM,12:30:PM,1111,1230,['S'],3.0
CSE 2215,Data Structure and Algorithms I,N,Azizur Rahman Anik,S,12:31:PM,01:50:PM,1231,1350,['S'],3.0
CSE 2215,Data Structure and Algorithms I,O,Pranta Biswas,S,01:51:PM,03:10:PM,1351,1510,['S'],3.0
CSE 2215,Data Structure and Algorithms I,Q,Rubaiya Rahtin Khan,U,09:51:AM,11:10:AM,951,1110,['U'],3.0
CSE 2215,Data Structure and Algorithms I,S,Rubaiya Rahtin Khan,U,12:31:PM,01:50:PM,1231,1350,['U'],3.0
CSE 2215,Data Structure and Algorithms I,R,Rakib Kibria,U,11:11:AM,12:30:PM,1111,1230,['U'],3.0
CSE 2215,Data Structure and Algorithms I,T,Rakib Kibria,U,01:51:PM,03:10:PM,1351,1510,['U'],3.0
CSE 2215,Data Structure and Algorithms I,U,Rakib Kibria,U,08:30:AM,09:50:AM,830,950,['U'],3.0
CSE 2215,Data Structure and Algorithms I,W,Abu Bakar Fahad,U,11:11:AM,12:30:PM,1111,1230,['U'],3.0
CSE 2215,Data Structure and Algorithms I,Y,Md. Tarek Hasan,U,01:51:PM,03:10:PM,1351,1510,['U'],3.0
CSE 2215,Data Structure and Algorithms I,Z,Md. Tarek Hasan,U,08:30:AM,09:50:AM,830,950,['U'],3.0
CSE 2215,Data Structure and Algorithms I,P,Mohammad Nurul Huda,U,08:30:AM,09:50:AM,830,950,['U'],3.0
CSE 2216,Data Structure and Algorithms I Laboratory,V,Raiyan Janik Monir,T,08:30:AM,11:00:AM,830,1100,['T'],1.0
CSE 2216,Data Structure and Algorithms I Laboratory,A,Siana Rizwan,S,08:30:AM,11:00:AM,830,1100,['S'],1.0
CSE 2216,Data Structure and Algorithms I Laboratory,AA,Pranta Biswas,W,02:00:PM,04:30:PM,1400,1630,['W'],1.0
CSE 2216,Data Structure and Algorithms I Laboratory,AB,Md. Mushfiqul Haque Omi,W,08:30:AM,11:00:AM,830,1100,['W'],1.0
CSE 2216,Data Structure and Algorithms I Laboratory,AC,Raiyan Janik Monir,S,11:11:AM,01:40:PM,1111,1340,['S'],1.0
CSE 2216,Data Structure and Algorithms I Laboratory,AD,Raiyan Janik Monir,W,02:00:PM,04:30:PM,1400,1630,['W'],1.0
CSE 2216,Data Structure and Algorithms I Laboratory,AE,Hafijul Hoque Chowdhury,W,08:30:AM,11:00:AM,830,1100,['W'],1.0
CSE 2216,Data Structure and Algorithms I Laboratory,AF,Md. Tarek Hasan,S,02:00:PM,04:30:PM,1400,1630,['S'],1.0
CSE 2216,Data Structure and Algorithms I Laboratory,AG,Abu Bakar Fahad,W,02:00:PM,04:30:PM,1400,1630,['W'],1.0
CSE 2216,Data Structure and Algorithms I Laboratory,AH,Abu Bakar Fahad,S,02:00:PM,04:30:PM,1400,1630,['S'],1.0
CSE 2216,Data Structure and Algorithms I Laboratory,B,Rakib Kibria,S,11:11:AM,01:40:PM,1111,1340,['S'],1.0
CSE 2216,Data Structure and Algorithms I Laboratory,C,Asif Ahmed Utsa,S,08:30:AM,11:00:AM,830,1100,['S'],1.0
CSE 2216,Data Structure and Algorithms I Laboratory,D,Shekh. Md. Saifur Rahman,S,11:11:AM,01:40:PM,1111,1340,['S'],1.0
CSE 2216,Data Structure and Algorithms I Laboratory,E,Sahid Hossain Mustakim,S,08:30:AM,11:00:AM,830,1100,['S'],1.0
CSE 2216,Data Structure and Algorithms I Laboratory,F,Asif Abrar,W,11:11:AM,01:40:PM,1111,1340,['W'],1.0
CSE 2216,Data Structure and Algorithms I Laboratory,G,Hafijul Hoque Chowdhury,T,08:30:AM,11:00:AM,830,1100,['T'],1.0
CSE 2216,Data Structure and Algorithms I Laboratory,H,Md. Irfanur Rahman Rafio,W,02:00:PM,04:30:PM,1400,1630,['W'],1.0
CSE 2216,Data Structure and Algorithms I Laboratory,I,Md. Mushfiqul Haque Omi,U,02:00:PM,04:30:PM,1400,1630,['U'],1.0
CSE 2216,Data Structure and Algorithms I Laboratory,J,Md. Rahad Khan,U,08:30:AM,11:00:AM,830,1100,['U'],1.0
CSE 2216,Data Structure and Algorithms I Laboratory,K,Asif Abrar,U,11:11:AM,01:40:PM,1111,1340,['U'],1.0
CSE 2216,Data Structure and Algorithms I Laboratory,M,Md. Enamul Haque,U,08:30:AM,11:00:AM,830,1100,['U'],1.0
CSE 2216,Data Structure and Algorithms I Laboratory,N,Md. Irfanur Rahman Rafio,U,11:11:AM,01:40:PM,1111,1340,['U'],1.0
CSE 2216,Data Structure and Algorithms I Laboratory,O,Pranta Biswas,U,02:00:PM,04:30:PM,1400,1630,['U'],1.0
CSE 2216,Data Structure and Algorithms I Laboratory,P,Abu Bakar Fahad,U,02:00:PM,04:30:PM,1400,1630,['U'],1.0
CSE 2216,Data Structure and Algorithms I Laboratory,Q,Md. Shadman Aadeeb,T,08:30:AM,11:00:AM,830,1100,['T'],1.0
CSE 2216,Data Structure and Algorithms I Laboratory,L,Mr. Md Siam,U,02:00:PM,04:30:PM,1400,1630,['U'],1.0
CSE 2216,Data Structure and Algorithms I Laboratory,R,Md. Shadman Aadeeb,T,02:00:PM,04:30:PM,1400,1630,['T'],1.0
CSE 2216,Data Structure and Algorithms I Laboratory,S,Asif Ahmed Utsa,T,08:30:AM,11:00:AM,830,1100,['T'],1.0
CSE 2216,Data Structure and Algorithms I Laboratory,T,Sajid Ahmed Chowdhury,S,02:00:PM,04:30:PM,1400,1630,['S'],1.0
CSE 2216,Data Structure and Algorithms I Laboratory,U,Siana Rizwan,T,02:00:PM,04:30:PM,1400,1630,['T'],1.0
CSE 2216,Data Structure and Algorithms I Laboratory,W,Rakib Kibria,T,11:11:AM,01:40:PM,1111,1340,['T'],1.0
CSE 2216,Data Structure and Algorithms I Laboratory,X,Sajid Ahmed Chowdhury,T,02:00:PM,04:30:PM,1400,1630,['T'],1.0
CSE 2216,Data Structure and Algorithms I Laboratory,Y,Md. Rahad Khan,W,08:30:AM,11:00:AM,830,1100,['W'],1.0
CSE 2216,Data Structure and Algorithms I Laboratory,Z,Mr. Md Siam,W,11:11:AM,01:40:PM,1111,1340,['W'],1.0
CSE 2217,Data Structure and Algorithms II,A,Umama Rahman,S,08:30:AM,09:50:AM,830,950,['S'],3.0
CSE 2217,Data Structure and Algorithms II,B,Mohammad Mirazur Rahman,S,09:51:AM,11:10:AM,951,1110,['S'],3.0
CSE 2217,Data Structure and Algorithms II,C,Tahmid Mosaddeque,S,11:11:AM,12:30:PM,1111,1230,['S'],3.0
CSE 2217,Data Structure and Algorithms II,D,Sayem Shahad,S,12:31:PM,01:50:PM,1231,1350,['S'],3.0
CSE 2217,Data Structure and Algorithms II,E,Mohammad Mirazur Rahman,S,01:51:PM,03:10:PM,1351,1510,['S'],3.0
CSE 2217,Data Structure and Algorithms II,F,Mr. Md Siam,U,08:30:AM,09:50:AM,830,950,['U'],3.0
CSE 2217,Data Structure and Algorithms II,G,Pranta Biswas,U,09:51:AM,11:10:AM,951,1110,['U'],3.0
CSE 2217,Data Structure and Algorithms II,H,Umama Rahman,U,11:11:AM,12:30:PM,1111,1230,['U'],3.0
CSE 2217,Data Structure and Algorithms II,I,Rakibul Hasan Rafi,U,12:31:PM,01:50:PM,1231,1350,['U'],3.0
CSE 2217,Data Structure and Algorithms II,J,Asif Ahmed Utsa,U,01:51:PM,03:10:PM,1351,1510,['U'],3.0
CSE 2217,Data Structure and Algorithms II,K,Umama Rahman,U,03:11:PM,04:30:PM,1511,1630,['U'],3.0
CSE 2217,Data Structure and Algorithms II,L,Charles Aunkan Gomes,U,03:11:PM,04:30:PM,1511,1630,['U'],3.0
